manuals_0_djvu_baranov_maslak01.docx,"Баранов А.Р. Маслак Ю.Г. Тактико-специальная подготовка войскового разведчика внутренних войск Учебно-практическое пособие, 2006"
manuals_0_djvu_belyakov_mf01.docx,"Беляков М. Ф. Ориентирование на местности без карты (Материалы к обучению). — М.; Воениздат, 1955"
manuals_0_djvu_biryukov_gf01.docx,"Бирюков Г.Ф. Мельников Г.В. Борьба с танками, 1967"
manuals_0_djvu_bystrov_ef01.docx,"Быстров Е.Ф. Вопросы теории и практики строительства советского Военно-Морского Флота в довоенные пятилетки (1929-1941), 1974"
manuals_0_djvu_dashevsky_ga01.docx,"Дашевский Г.А. Подземно-минные работы, 1944"
manuals_0_djvu_dmitriev_vi01.docx,"Дмитриев В.И. История корабельного устава, 1984"
manuals_0_djvu_elansky_nn01.docx,"Еланский Н.Н. Военно-полевая хирургия, 1942"
manuals_0_djvu_galkin_is01.docx,"Галкин И.С. Материалы к 26-й лекции Первая мировая империалистическая война, 1939"
manuals_0_djvu_gerasimenko_ia01.docx,"Герасименко И.А. Воздушно-десантная подготовка. Часть I. Парашютно-десантные средства, их подготовка и десантирование личного состава (грузов), 1986"
manuals_0_djvu_hanov_a01.docx,"Ханов А. Морская авиация, 1932"
manuals_0_djvu_ivanov_rybkin01.docx,"Иванов А.И. Рыбкин Г.И. Поражающее действие ядерного взрыва, 1960"
manuals_0_djvu_kartashev_b01.docx,"Карташев Б. Боевые возможности бомбардировочной авиации, 1928"
manuals_0_djvu_kryukov_s01.docx,Крюков Н. Военные сообщения (Переправы и обыкновенные дороги). 1896
manuals_0_djvu_loschilov_nesterov01.docx,"Лощилов А.К. Нестеров В.П. Тактическая подготовка. Оружие массового поражения и защита от него, 1969"
manuals_0_djvu_maltsev_am01.docx,"Мальцев А.М. Снайперская подготовка, 2006"
manuals_0_djvu_mau_ni01-1.docx,"Мау Н.И. Руководство для обучения молодых солдат, 1878"
manuals_0_djvu_molchanov_ns01.docx,"Молчанов Н.С. Военно-полевая терапия (Руководство для студентов медвузов и врачей), 1961"
manuals_0_djvu_nikiforov_nn01.docx,"Никифоров Н.Н. Учебник сержанта артиллерии. Книга 1. Стрелково-артиллерийская подготовка, 1944"
manuals_0_djvu_petrov_ma01.docx,"Петров М.А. Боевое применение воздушных сил в морской войне. Пособие для командного состава РККА, 1925"
manuals_0_djvu_pombrik_shevchenko01.docx,"Помбрик И.Д. Шевченко, Н.А. Карта офицера. Учебное пособие для офицеров Сухопутных войск, 1985"
manuals_0_djvu_puzyrevsky_kp01.docx,Пузыревский К.П. Повреждения кораблей от подводных взрывов и борьба за живучесть. По историческим материалам мировой войны 1914-1918 гг. 1938
manuals_0_djvu_puzyrevsky_kp02.docx,"Пузыревский К.П. Повреждения кораблей от артиллерии и борьба за живучесть. (По материалам мировой империалистической войны 1914-1918 гг.), 1940"
manuals_0_djvu_puzyrevsky_kp03.docx,"Пузыревский К.П. Повреждения кораблей, борьба за живучесть и спасательные работы. (Повреждения от подводных опасностей, столкновений, по механической части надводных кораблей и подводных лодок), 1942"
manuals_0_djvu_rimsky-korsakov_vp01-1.docx,"Римский-Корсаков В.П. Управление артиллерийским огнем, 1925"
manuals_0_djvu_rimsky-korsakov_vp01-2.docx,"Римский-Корсаков В.П. Управление артиллерийским огнем. Том 2, 1925"
manuals_0_djvu_ryazanov_oe01.docx,"Рязанов О.Е. Законы снайперской войны, 2003"
manuals_0_djvu_ryazanov_oe02.docx,"Рязанов О.Е. История снайперского искусства, 2004"
manuals_0_djvu_rybaltovsky_vy01.docx,"Рыбалтовский В.Ю. Морская артиллерия, 1934"
manuals_0_djvu_sakovich_aa01.docx,"Сакович А.А. Служба войсковых частей на морском побережьи, 1926"
manuals_0_djvu_sallus_gg01.docx,"Саллус Г.Г. Живучесть подводной лодки, 1941"
manuals_0_djvu_shtal_av01.docx,"Шталь А.В. Служба штаба Морских Сил, 1928"
manuals_0_djvu_shuginin_am01.docx,"Шугинин А.М. Боевые действия авиации на море, 1940"
manuals_0_djvu_shuginin_am02.docx,"Шугинин А.М. Тактика Военно-Воздушных Сил Военно-Морского Флота, 1941"
manuals_0_djvu_starokadomsky_lm03.docx,"Старокадомский Л.М. Гигиена краснофлотца на корабле, 1929"
manuals_0_djvu_surikov_bt01.docx,"Суриков Б.Т. Ракетные средства борьбы с низколетящими целями, 1973"
manuals_0_djvu_unkovsky_v01.docx,"Унковский В. Теория стрельбы на море, 1935"
manuals_0_djvu_up_nuclear-weapon.docx,"Ядерное оружие. Пособие для офицеров. — М. Воениздат, 1987"
manuals_0_djvu_vnukov_vp01.docx,"Внуков В.П. Занимательная физика на войне, 1930"
manuals_0_djvu_volkov_g01.docx,"Волков Г.К. Основы гидроавиации, 1940"
manuals_0_djvu_yakovlev_ii01.docx,"Яковлев И.И. Планирование постройки корабля, 1939"
manuals_0_djvu_yakovlev_s01.docx,"Яковлев С. Непотопляемость надводных кораблей, 1934"
manuals_0_djvu_yazykov_vv01.docx,"Языков В.В. Собаки на военной службе Работа военных собак и их дрессировка, 1927"
manuals_0_pdf_borba-s-diversantami.docx,"Потапов С.М.Эйсман А.А. Борьба с диверсантами, 1941"
manuals_0_pdf_dragomirov_mi01.docx,"Драгомиров М.И. Учебник тактики, 1879"
manuals_0_pdf_gavrikov_fk01.docx,"Гавриков Ф.К. Пособие по обучению молодого солдата. Выпуск 1. Организация и планирование обучения; Изучение уставов, 1969"
manuals_0_pdf_gordon_horenkov01.docx,"Гордон Ю.А. Хоренков А.В. Артиллерийская разведка, 1971"
manuals_0_pdf_ioher_aa01.docx,"Иохер А.А. Осадная война и минное искусство. Курс военных училищ, 1888"
manuals_0_pdf_kalyuzhny_as01.docx,"Калюжный А.С. Военная психология и педагогика в профессиональной деятельности офицера Военно-морского флота, 2004"
manuals_0_pdf_kartamyshev_ai01.docx,"Картамышев А.И. Боевые отравляющие вещества Пособие для среднего и низшего медицинского персонала, 1934"
